lab_1;delivery_time_lab_1;attempts_lab_1;lab_2;lab_3;grade
4.4;0.63;2;4.4;4.9;2
3.3;0.33;1;3.3;3.7;1
4.7;0.78;3;4.3;4.8;2
4.3;0.28;1;4.0;4.9;2
4.2;0.5;10;3.1;4.9;1
0.0;1.58;6;4.5;5.0;1
3.1;1.12;4;4.8;5.0;1
4.8;0.33;1;4.6;5.0;2
4.0;0.4;1;4.6;4.9;2
5.0;0.83;3;4.8;5.0;2
3.4;0.37;1;4.8;4.9;2
3.1;0.25;1;5.0;5.0;1
5.0;0.58;2;5.0;5.0;2
4.9;0.37;1;0.0;4.6;1
4.5;0.25;1;0.8;4.8;1
4.3;0.58;2;1.6;4.5;1
4.2;1.27;5;4.1;4.4;2
4.8;0.25;1;3.8;3.5;2
4.8;0.75;3;0.0;5.0;1
4.8;0.52;2;4.0;4.3;2
4.6;0.57;2;1.7;4.2;1
4.6;0.53;2;1.8;5.0;1
4.6;0.4;1;3.3;5.0;2
4.5;0.25;1;0.0;5.0;1
4.6;0.6;2;3.0;5.0;1
4.6;0.25;1;2.3;4.6;1
4.6;0.98;3;3.1;4.6;1
4.8;0.5;6;0.0;5.0;1
4.8;0.48;1;5.0;5.0;2
3.0;0.12;1;3.5;5.0;1
5.0;0.33;1;4.1;3.5;2
4.7;0.25;1;3.0;5.0;2
3.4;0.83;3;3.1;5.0;1
4.9;0.42;1;3.3;4.9;2
5.0;0.5;7;4.3;5.0;2
4.8;0.65;2;4.2;5.0;2
0.6;0.25;1;3.9;4.8;0
0.0;0.32;1;2.5;0.9;0
0.8;0.42;1;1.1;1.8;0
1.6;0.43;1;1.9;0.7;0
1.0;0.57;2;0.0;3.0;0
3.8;0.25;1;0.0;1.2;0
2.2;0.68;2;3.9;3.2;0
0.0;0.35;1;3.6;5.0;0
0.3;0.37;1;1.8;0.7;0
3.8;0.42;1;0.5;4.8;0
4.7;0.53;2;1.1;0.5;0
4.0;0.65;2;3.7;3.6;1
0.0;0.25;1;2.7;1.2;0
4.0;0.25;1;3.6;5.0;1
1.7;0.25;1;1.1;3.4;0
1.8;0.82;3;1.6;2.3;0
3.3;0.37;1;0.0;4.9;0
4.8;0.82;3;0.8;4.8;1
3.0;0.28;1;3.1;4.7;1
